Trajectories
100
	x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_RHandOut			x_RHandIn			x_RThumb1			x_RThumbTip			x_RIndex2			x_RIndexTip			x_RMiddle2			x_RMiddleTip			x_RRing2			x_RRingTip			x_RPinky2			x_RPinkyTip			x_LThumb1			x_LThumbTip			x_LIndex2			x_LIndexTip			x_LMiddle2			x_LMiddleTip			x_LRing2			x_LRingTip			x_LPinky2			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
223	-766.597	1056.392	685.131	-711.438	1049.321	687.91	-762.803	1128.981	669.353	-703.51	1126.691	689.797	-797.326	-480.634	674.788	-737.4	-497.547	693.388	-705.128	-472.907	666.525	-702.768	-533.548	668.526	-745.915	-568.954	673.77	-749.954	-598.861	664.855	-767.094	-575.057	672.409	0	0	0	-801.081	-563.533	650.27	-780.415	-596.798	656.814	-802.199	-539.254	658.267	-784.363	-561.621	665.527	-671.256	1098.023	668.693	-668.361	1162.552	670.328	-696.758	1200.913	675.723	-699.624	1231.987	663.007	-712	1209.084	670.717	-709.565	1244.859	656.35	-731.171	1199.7	663.167	-725.063	1231.071	656.178	-754.684	1180.43	654.341	-751.665	1205.737	652.646
224	-766.495	1056.402	685.083	-711.341	1049.308	687.844	-762.695	1128.967	669.308	-703.399	1126.657	689.714	-797.29	-480.646	674.678	-737.366	-497.556	693.269	-705.089	-472.898	666.391	-702.687	-533.544	668.373	-745.896	-568.985	673.674	-749.894	-598.899	664.71	-767.028	-575.034	672.211	0	0	0	-801.033	-563.53	650.14	-780.564	-597.07	657.332	-802.179	-539.254	658.157	-784.332	-561.629	665.377	-671.147	1097.98	668.618	-668.254	1162.517	670.243	-696.625	1200.877	675.631	-699.504	1231.947	662.911	-712.057	1209.679	671.362	-709.477	1244.844	656.279	-731.043	1199.668	663.082	-725.008	1230.853	656.068	-754.576	1180.42	654.278	-751.561	1205.715	652.605
225	-766.393	1056.371	685.049	-711.238	1049.285	687.777	-762.614	1128.947	669.257	-703.284	1126.661	689.674	-797.246	-480.64	674.575	-737.306	-497.558	693.145	-705.007	-472.859	666.241	-702.643	-533.542	668.251	-745.875	-569.028	673.594	-749.829	-598.81	664.36	-766.986	-575.048	672.111	0	0	0	-800.999	-563.534	650.016	-780.544	-597.089	657.23	-802.129	-539.267	657.993	-784.288	-561.639	665.23	-671.059	1097.961	668.576	-668.134	1162.484	670.161	-696.51	1200.821	675.522	-699.406	1231.928	662.814	-711.958	1209.643	671.278	-709.35	1244.813	656.237	-730.937	1199.658	663.035	-724.887	1230.795	655.958	-754.473	1180.372	654.213	-751.441	1205.674	652.498
226	-766.289	1056.345	685	-711.131	1049.234	687.706	-762.462	1128.752	669.014	-703.158	1126.602	689.575	-797.208	-480.651	674.448	-737.266	-497.585	693.014	-705.016	-472.898	666.126	-702.568	-533.549	668.125	-745.838	-569.057	673.487	-749.802	-598.819	664.285	-766.945	-575.052	671.959	0	0	0	-800.966	-563.532	649.867	-780.343	-596.855	656.514	-802.082	-539.264	657.847	-784.248	-561.652	665.084	-670.946	1097.916	668.496	-668.027	1162.446	670.079	-696.394	1200.791	675.465	-699.289	1231.878	662.74	-711.826	1209.617	671.203	-709.206	1244.78	656.126	-730.832	1199.618	662.945	-724.77	1230.735	655.881	-754.362	1180.307	654.11	-751.335	1205.641	652.455
227	-766.193	1056.318	684.994	-711.04	1049.216	687.666	-762.39	1128.846	669.129	-703.058	1126.58	689.519	-797.162	-480.658	674.343	-737.225	-497.589	692.911	-704.979	-472.905	666.018	-702.506	-533.565	667.97	-745.789	-569.065	673.368	-749.786	-598.831	664.18	-766.879	-575.071	671.795	0	0	0	-800.937	-563.547	649.769	-780.435	-597.086	656.88	-802.05	-539.281	657.728	-784.223	-561.683	664.979	-670.857	1097.901	668.455	-667.913	1162.403	669.991	-696.286	1200.76	675.38	-699.168	1231.846	662.675	-711.551	1209.001	670.5	-709.088	1244.705	655.996	-730.705	1199.584	662.884	-724.673	1230.731	655.842	-754.251	1180.303	654.078	-751.229	1205.641	652.431
228	-766.106	1056.285	684.933	-710.94	1049.164	687.619	-762.245	1128.724	668.966	-702.967	1126.559	689.491	-797.112	-480.682	674.25	-737.161	-497.612	692.804	-704.952	-472.914	665.915	-702.458	-533.557	667.844	-745.764	-569.085	673.295	-749.741	-598.838	664.092	-766.838	-575.098	671.702	0	0	0	-800.895	-563.541	649.64	-780.28	-596.895	656.314	-802.014	-539.286	657.636	-784.173	-561.684	664.864	-670.746	1097.852	668.385	-667.798	1162.35	669.921	-696.174	1200.714	675.329	-699.059	1231.838	662.641	-711.446	1208.975	670.437	-708.991	1244.713	656.008	-730.599	1199.582	662.884	-724.468	1230.861	655.78	-754.142	1180.246	654.036	-751.134	1205.6	652.381
229	-765.998	1056.258	684.9	-710.83	1049.14	687.568	-762.141	1128.709	668.932	-702.851	1126.499	689.42	-797.075	-480.702	674.162	-737.102	-497.631	692.637	-704.91	-472.938	665.807	-702.397	-533.559	667.689	-745.729	-569.111	673.175	-749.705	-598.853	663.965	-766.794	-575.119	671.585	0	0	0	-800.861	-563.552	649.542	-780.331	-597.106	656.571	-801.962	-539.291	657.537	-784.124	-561.691	664.756	-670.629	1097.833	668.346	-667.691	1162.334	669.901	-696.063	1200.711	675.31	-698.938	1231.802	662.597	-711.336	1208.928	670.423	-708.876	1244.637	655.89	-730.491	1199.515	662.831	-724.352	1230.821	655.738	-754.043	1180.208	653.984	-751.041	1205.586	652.346
230	-765.899	1056.246	684.889	-710.729	1049.11	687.544	-762.031	1128.702	668.946	-702.731	1126.463	689.356	-797.034	-480.711	674.071	-737.042	-497.658	692.536	-704.871	-472.943	665.71	-702.33	-533.561	667.541	-745.662	-569.107	672.97	-749.677	-598.886	663.882	-766.767	-575.143	671.468	0	0	0	-800.808	-563.553	649.421	-780.171	-596.898	655.984	-801.921	-539.294	657.429	-784.07	-561.704	664.628	-670.524	1097.758	668.263	-667.58	1162.291	669.861	-695.946	1200.659	675.229	-698.829	1231.77	662.547	-711.19	1208.823	670.25	-708.78	1244.646	655.917	-730.384	1199.494	662.781	-724.249	1230.802	655.719	-753.941	1180.23	654.029	-750.929	1205.579	652.353
231	-765.792	1056.219	684.842	-710.626	1049.086	687.505	-761.94	1128.692	668.945	-702.628	1126.444	689.315	-796.999	-480.744	674.024	-737.005	-497.685	692.451	-704.825	-472.961	665.594	-702.282	-533.565	667.395	-745.591	-569.079	672.765	-749.625	-598.949	663.769	-766.739	-575.171	671.411	0	0	0	-800.803	-563.576	649.347	-780.077	-596.876	655.767	-801.889	-539.309	657.352	-784.03	-561.724	664.535	-670.404	1097.717	668.221	-667.478	1162.261	669.811	-695.848	1200.622	675.211	-698.713	1231.726	662.509	-711.064	1208.732	670.141	-708.603	1244.464	655.653	-730.287	1199.47	662.797	-724.15	1230.768	655.722	-753.859	1180.198	653.992	-750.836	1205.541	652.335
232	-765.689	1056.136	684.781	-710.521	1049.063	687.476	-761.845	1128.651	668.912	-702.531	1126.392	689.281	-796.958	-480.752	673.932	-736.946	-497.7	692.358	-704.784	-472.967	665.479	-702.228	-533.607	667.282	-745.582	-569.125	672.685	-749.592	-598.944	663.583	-766.707	-575.189	671.334	0	0	0	-800.759	-563.59	649.269	-780.039	-596.885	655.652	-801.85	-539.329	657.285	-783.983	-561.736	664.421	-670.325	1097.673	668.193	-667.359	1162.223	669.786	-695.745	1200.601	675.194	-698.621	1231.701	662.486	-710.954	1208.699	670.136	-708.506	1244.421	655.61	-730.182	1199.442	662.761	-724.053	1230.727	655.679	-753.763	1180.192	653.969	-750.74	1205.513	652.296
233	-765.59	1056.135	684.778	-710.432	1049.033	687.442	-761.753	1128.628	668.892	-702.429	1126.371	689.26	-796.895	-480.79	673.856	-736.907	-497.726	692.284	-704.739	-472.985	665.39	-702.15	-533.612	667.103	-745.523	-569.131	672.592	-749.582	-598.96	663.512	-766.663	-575.209	671.217	0	0	0	-800.725	-563.604	649.182	-779.984	-596.888	655.535	-801.812	-539.351	657.202	-783.939	-561.75	664.37	-670.226	1097.627	668.143	-667.264	1162.195	669.758	-695.64	1200.576	675.17	-698.517	1231.645	662.462	-710.882	1208.674	670.121	-708.413	1244.419	655.639	-730.081	1199.393	662.723	-723.948	1230.707	655.675	-753.651	1180.181	653.954	-750.647	1205.48	652.272
234	-765.484	1056.063	684.735	-710.339	1049.004	687.431	-761.656	1128.617	668.907	-702.332	1126.332	689.239	-796.865	-480.822	673.797	-736.876	-497.749	692.208	-704.707	-473.003	665.305	-702.104	-533.633	667.046	-745.458	-569.149	672.413	-749.458	-598.959	663.275	-766.627	-575.241	671.183	0	0	0	-800.693	-563.622	649.115	-780.135	-597.17	656.086	-801.794	-539.363	657.165	-783.923	-561.782	664.315	-670.128	1097.583	668.106	-667.159	1162.163	669.722	-695.544	1200.537	675.168	-698.425	1231.611	662.432	-710.786	1208.646	670.118	-708.311	1244.385	655.598	-729.972	1199.347	662.671	-723.843	1230.681	655.656	-753.563	1180.103	653.858	-750.564	1205.458	652.254
235	-765.391	1056.043	684.718	-710.229	1048.958	687.401	-761.56	1128.606	668.893	-702.225	1126.297	689.232	-796.833	-480.826	673.755	-736.822	-497.792	692.149	-704.679	-473.024	665.248	-702.05	-533.655	666.967	-745.471	-569.199	672.478	-749.432	-598.966	663.208	-766.59	-575.265	671.094	0	0	0	-800.687	-563.667	649.103	-779.951	-596.956	655.483	-801.774	-539.393	657.147	-783.895	-561.797	664.299	-670.018	1097.549	668.075	-667.067	1162.138	669.684	-695.421	1200.477	675.12	-698.306	1231.567	662.409	-710.653	1208.588	670.09	-708.216	1244.366	655.626	-729.874	1199.312	662.641	-723.754	1230.638	655.612	-753.469	1180.061	653.849	-750.465	1205.405	652.189
236	-765.288	1056.007	684.726	-710.128	1048.922	687.382	-761.471	1128.581	668.876	-702.115	1126.252	689.189	-796.79	-480.863	673.726	-736.801	-497.814	692.112	-704.61	-473.003	665.213	-702.005	-533.671	666.91	-745.395	-569.203	672.315	-749.415	-599.027	663.182	-766.558	-575.282	671.051	0	0	0	-800.669	-563.682	649.049	-780.122	-597.241	656.06	-801.777	-539.434	657.13	-783.852	-561.816	664.215	-669.915	1097.51	668.032	-666.962	1162.076	669.658	-695.302	1200.447	675.07	-698.216	1231.512	662.363	-710.556	1208.591	670.093	-708.085	1244.292	655.553	-729.778	1199.296	662.639	-723.632	1230.596	655.607	-753.377	1180.043	653.851	-750.383	1205.393	652.207
237	-765.181	1055.964	684.712	-710.02	1048.888	687.359	-761.352	1128.539	668.849	-701.997	1126.215	689.168	-796.749	-480.882	673.664	-736.77	-497.835	692.057	-704.599	-473.069	665.133	-701.961	-533.69	666.872	-745.389	-569.23	672.289	-749.379	-599.055	663.131	-766.545	-575.289	670.924	0	0	0	-800.645	-563.722	649.008	-780.126	-597.287	656.044	-801.719	-539.441	657.057	-783.827	-561.854	664.191	-669.813	1097.471	668.011	-666.846	1162.036	669.609	-695.213	1200.398	675.038	-698.095	1231.481	662.328	-710.439	1208.554	670.076	-707.992	1244.293	655.589	-729.668	1199.247	662.607	-723.547	1230.551	655.573	-753.299	1179.988	653.796	-750.29	1205.291	652.129
238	-765.076	1055.928	684.699	-709.917	1048.841	687.339	-761.254	1128.57	668.918	-701.877	1126.139	689.127	-796.73	-480.919	673.645	-736.73	-497.877	692.018	-704.567	-473.096	665.091	-701.923	-533.725	666.866	-745.385	-569.312	672.319	-749.402	-599.077	663.109	-766.491	-575.311	670.884	0	0	0	-800.613	-563.749	648.979	-780.086	-597.313	655.986	-801.723	-539.484	657.051	-783.812	-561.886	664.163	-669.711	1097.434	667.96	-666.737	1161.971	669.555	-695.107	1200.352	675.003	-697.991	1231.452	662.301	-710.325	1208.503	670.04	-707.9	1244.275	655.577	-729.565	1199.227	662.599	-723.459	1230.532	655.572	-753.218	1179.948	653.813	-750.205	1205.255	652.113
239	-764.967	1055.887	684.722	-709.808	1048.8	687.309	-761.128	1128.524	668.91	-701.778	1126.102	689.093	-796.694	-480.945	673.621	-736.694	-497.904	691.974	-704.517	-473.132	665.014	-701.883	-533.754	666.843	-745.36	-569.33	672.289	-749.369	-599.128	663.084	-766.465	-575.359	670.882	0	0	0	-800.609	-563.778	648.958	-780.083	-597.336	655.981	-801.7	-539.505	657.018	-783.793	-561.928	664.139	-669.605	1097.409	667.941	-666.605	1161.925	669.519	-694.988	1200.303	674.966	-697.874	1231.383	662.228	-710.214	1208.521	670.068	-707.807	1244.231	655.545	-729.473	1199.193	662.575	-723.348	1230.491	655.537	-753.129	1179.872	653.753	-750.143	1205.239	652.137
240	-764.856	1055.823	684.708	-709.681	1048.722	687.263	-761.033	1128.497	668.954	-701.672	1126.08	689.092	-796.657	-480.98	673.61	-736.659	-497.951	691.953	-704.487	-473.173	664.996	-701.834	-533.79	666.799	-745.325	-569.36	672.226	-749.373	-599.156	663.084	-766.447	-575.41	670.924	0	0	0	-800.571	-563.799	648.944	-780.069	-597.381	656.01	-801.67	-539.539	656.992	-783.74	-561.949	664.075	-669.49	1097.366	667.926	-666.496	1161.888	669.477	-694.859	1200.279	674.966	-697.756	1231.361	662.25	-710.101	1208.432	670.018	-707.693	1244.196	655.544	-729.346	1199.15	662.562	-723.234	1230.473	655.51	-753.033	1179.866	653.752	-750.045	1205.197	652.098
241	-764.741	1055.793	684.707	-709.573	1048.697	687.246	-760.912	1128.453	668.974	-701.555	1126.011	689.001	-796.638	-481.016	673.602	-736.623	-497.994	691.908	-704.462	-473.227	664.949	-701.809	-533.833	666.774	-745.313	-569.402	672.235	-749.321	-599.213	663.051	-766.431	-575.464	670.907	0	0	0	-800.561	-563.854	648.935	-780.049	-597.44	656.014	-801.637	-539.581	656.97	-783.752	-562.001	664.091	-669.386	1097.325	667.933	-666.384	1161.852	669.445	-694.759	1200.243	674.929	-697.64	1231.331	662.219	-709.976	1208.392	669.976	-707.598	1244.15	655.524	-729.23	1199.084	662.535	-723.129	1230.452	655.502	-752.931	1179.801	653.722	-749.959	1205.153	652.083
242	-764.62	1055.757	684.675	-709.471	1048.643	687.219	-760.809	1128.44	668.959	-701.432	1125.958	688.978	-796.586	-481.056	673.58	-736.582	-498.031	691.895	-704.42	-473.26	664.914	-701.77	-533.873	666.757	-745.294	-569.444	672.23	-749.352	-599.267	663.141	-766.41	-575.491	670.804	0	0	0	-800.551	-563.891	648.934	-780.036	-597.488	656.013	-801.626	-539.636	656.96	-783.713	-562.051	664.063	-669.244	1097.306	667.998	-666.271	1161.788	669.409	-694.643	1200.189	674.903	-697.544	1231.292	662.204	-709.878	1208.355	669.942	-707.478	1244.094	655.519	-729.121	1199.037	662.506	-723.006	1230.393	655.472	-752.834	1179.788	653.737	-749.888	1205.172	652.128
243	-764.51	1055.718	684.674	-709.36	1048.613	687.216	-760.705	1128.389	668.956	-701.327	1125.942	689.006	-796.557	-481.102	673.574	-736.545	-498.084	691.858	-704.406	-473.304	664.873	-701.717	-533.924	666.699	-745.243	-569.491	672.206	-749.27	-599.289	663.051	-766.381	-575.558	670.879	0	0	0	-800.507	-563.934	648.895	-779.985	-597.532	655.978	-801.592	-539.677	656.981	-783.69	-562.109	664.068	-669.174	1097.244	667.882	-666.144	1161.713	669.386	-694.539	1200.162	674.886	-697.425	1231.227	662.167	-709.786	1208.312	669.936	-707.38	1244.098	655.56	-729.012	1199.004	662.5	-722.889	1230.347	655.447	-752.756	1179.742	653.723	-749.82	1205.077	652.032
244	-764.411	1055.696	684.65	-709.243	1048.561	687.187	-760.587	1128.224	668.816	-701.21	1125.884	688.959	-796.511	-481.141	673.569	-736.5	-498.123	691.858	-704.368	-473.358	664.835	-701.68	-533.955	666.669	-745.188	-569.522	672.158	-749.25	-599.333	663.028	-766.335	-575.616	670.838	0	0	0	-800.496	-563.987	648.929	-779.799	-597.327	655.357	-801.56	-539.736	656.973	-783.653	-562.152	664.04	-669.063	1097.204	667.877	-666.011	1161.637	669.376	-694.416	1200.102	674.872	-697.312	1231.19	662.168	-709.69	1208.277	669.914	-707.253	1244.057	655.548	-728.898	1198.925	662.479	-722.761	1230.31	655.455	-752.652	1179.74	653.779	-749.75	1205.084	652.078
245	-764.279	1055.638	684.623	-709.117	1048.488	687.167	-760.456	1128.16	668.814	-701.105	1125.853	689.003	-796.488	-481.203	673.564	-736.458	-498.176	691.806	-704.323	-473.408	664.762	-701.633	-534	666.585	-745.176	-569.595	672.147	-749.22	-599.378	663.004	-766.287	-575.633	670.731	0	0	0	-800.479	-564.031	648.942	-779.77	-597.392	655.369	-801.526	-539.778	656.951	-783.621	-562.208	664.023	-668.966	1097.16	667.846	-666.01	1161.793	669.537	-694.299	1200.072	674.877	-697.195	1231.1	662.134	-709.554	1208.211	669.848	-707.15	1243.997	655.572	-728.78	1198.894	662.463	-722.654	1230.244	655.452	-752.543	1179.667	653.751	-749.621	1204.994	652.051
246	-764.149	1055.573	684.611	-708.996	1048.449	687.168	-760.348	1128.107	668.766	-700.959	1125.8	688.969	-796.443	-481.245	673.566	-736.416	-498.227	691.808	-704.291	-473.461	664.752	-701.581	-534.045	666.559	-745.129	-569.63	672.108	-749.166	-599.429	662.96	-766.258	-575.716	670.773	0	0	0	-800.423	-564.073	648.902	-779.743	-597.448	655.358	-801.501	-539.845	656.964	-783.597	-562.275	664.038	-668.825	1097.082	667.837	-665.899	1161.745	669.52	-694.167	1199.985	674.823	-697.077	1231.081	662.137	-709.424	1208.156	669.88	-707.031	1243.936	655.525	-728.647	1198.822	662.465	-722.539	1230.206	655.483	-752.415	1179.619	653.765	-749.497	1204.929	652.034
247	-764.043	1055.554	684.601	-708.876	1048.396	687.137	-760.219	1128.096	668.82	-700.842	1125.736	688.948	-796.399	-481.307	673.57	-736.369	-498.298	691.767	-704.229	-473.487	664.755	-701.533	-534.1	666.541	-745.089	-569.689	672.067	-749.164	-599.472	662.956	-766.232	-575.774	670.767	0	0	0	-800.41	-564.13	648.924	-779.701	-597.484	655.272	-801.469	-539.902	656.973	-783.563	-562.316	664.033	-668.689	1097.044	667.888	-665.771	1161.679	669.486	-694.043	1199.933	674.817	-696.964	1231.02	662.116	-709.304	1208.122	669.882	-706.897	1243.896	655.513	-728.513	1198.751	662.404	-722.413	1230.157	655.471	-752.302	1179.523	653.71	-749.378	1204.887	652.071
248	-763.916	1055.48	684.589	-708.751	1048.31	687.112	-760.084	1128.026	668.769	-700.717	1125.626	688.88	-796.373	-481.352	673.566	-736.34	-498.339	691.768	-704.215	-473.562	664.708	-701.472	-534.161	666.509	-745.067	-569.751	672.09	-749.144	-599.579	663.058	-766.194	-575.816	670.734	0	0	0	-800.375	-564.179	648.902	-779.682	-597.533	655.266	-801.441	-539.953	656.945	-783.532	-562.375	664.027	-668.546	1097.005	667.894	-665.644	1161.624	669.441	-693.92	1199.88	674.812	-696.811	1230.965	662.095	-709.149	1208.05	669.878	-706.769	1243.864	655.543	-728.412	1198.756	662.473	-722.278	1230.091	655.473	-752.168	1179.493	653.752	-749.248	1204.821	652.056
249	-763.81	1055.428	684.591	-708.623	1048.254	687.1	-759.956	1128.005	668.785	-700.586	1125.576	688.878	-796.341	-481.408	673.588	-736.286	-498.418	691.744	-704.185	-473.621	664.716	-701.405	-534.204	666.521	-745.02	-569.818	672.082	-749.106	-599.606	662.953	-766.191	-575.867	670.737	0	0	0	-800.345	-564.24	648.906	-779.651	-597.597	655.253	-801.404	-540.005	656.954	-783.504	-562.421	664.006	-668.446	1096.895	667.781	-665.491	1161.543	669.429	-693.788	1199.814	674.791	-696.674	1230.899	662.101	-709.016	1208.005	669.906	-706.639	1243.818	655.561	-728.263	1198.676	662.402	-722.226	1229.83	655.384	-752.04	1179.388	653.668	-749.121	1204.738	651.997
250	-763.671	1055.384	684.603	-708.515	1048.195	687.085	-759.828	1127.925	668.772	-700.436	1125.521	688.9	-796.305	-481.469	673.604	-736.257	-498.474	691.76	-704.155	-473.677	664.71	-701.338	-534.267	666.493	-744.975	-569.862	672.091	-749.092	-599.712	663.072	-766.137	-575.934	670.754	0	0	0	-800.327	-564.302	648.937	-779.651	-597.659	655.311	-801.377	-540.068	656.973	-783.462	-562.478	664.026	-668.291	1096.853	667.854	-665.346	1161.462	669.372	-693.627	1199.734	674.766	-696.516	1230.835	662.048	-708.862	1207.959	669.892	-706.474	1243.701	655.448	-728.131	1198.62	662.402	-722.072	1229.743	655.349	-751.904	1179.332	653.668	-748.973	1204.721	652.053
251	-763.553	1055.314	684.583	-708.372	1048.123	687.076	-759.701	1127.878	668.744	-700.313	1125.455	688.857	-796.275	-481.535	673.627	-736.211	-498.537	691.777	-704.113	-473.734	664.737	-701.278	-534.322	666.482	-744.959	-569.951	672.145	-749.084	-599.747	663.08	-766.112	-575.99	670.768	0	0	0	-800.309	-564.376	648.99	-779.596	-597.719	655.318	-801.354	-540.117	656.995	-783.412	-562.534	664.021	-668.165	1096.724	667.714	-665.201	1161.389	669.368	-693.478	1199.678	674.734	-696.366	1230.779	662.056	-708.728	1207.889	669.883	-706.326	1243.61	655.41	-727.983	1198.54	662.391	-721.812	1229.873	655.301	-751.74	1179.267	653.634	-748.811	1204.677	652.043
252	-763.403	1055.231	684.609	-708.262	1048.08	687.078	-759.545	1127.774	668.719	-700.177	1125.394	688.833	-796.235	-481.589	673.671	-736.177	-498.608	691.802	-704.075	-473.806	664.752	-701.231	-534.379	666.508	-744.937	-570.017	672.201	-749.027	-599.828	663.09	-766.075	-576.055	670.797	0	0	0	-800.279	-564.445	649.03	-779.57	-597.797	655.374	-801.319	-540.187	657.027	-783.384	-562.608	664.056	-668.036	1096.629	667.659	-665.049	1161.275	669.337	-693.327	1199.587	674.72	-696.227	1230.72	662.044	-708.608	1207.849	669.882	-706.147	1243.541	655.363	-727.828	1198.46	662.362	-721.652	1229.805	655.266	-751.58	1179.25	653.653	-748.643	1204.626	652.057
253	-763.279	1055.171	684.609	-708.125	1047.991	687.071	-759.39	1127.547	668.533	-699.863	1125.047	688.546	-796.195	-481.675	673.725	-736.146	-498.666	691.829	-704.029	-473.861	664.763	-701.17	-534.45	666.539	-744.897	-570.093	672.232	-748.97	-599.836	663.033	-766.057	-576.138	670.912	0	0	0	-800.248	-564.501	649.093	-779.715	-598.112	656.025	-801.288	-540.244	657.089	-783.359	-562.668	664.12	-667.87	1096.571	667.743	-664.858	1161.24	669.411	-693.176	1199.533	674.722	-696.067	1230.592	661.972	-708.481	1207.775	669.883	-705.996	1243.472	655.356	-727.685	1198.389	662.381	-721.5	1229.715	655.289	-751.426	1179.201	653.673	-748.454	1204.518	651.988
254	-763.147	1055.121	684.614	-707.993	1047.922	687.063	-759.239	1127.468	668.551	-699.729	1124.965	688.555	-796.161	-481.744	673.759	-736.095	-498.73	691.856	-703.988	-473.918	664.751	-701.109	-534.499	666.532	-744.892	-570.177	672.312	-748.974	-599.949	663.171	-766.012	-576.21	670.933	0	0	0	-800.209	-564.578	649.121	-779.653	-598.18	656.039	-801.253	-540.312	657.165	-783.328	-562.733	664.167	-667.745	1096.497	667.713	-664.704	1161.16	669.405	-693.026	1199.448	674.693	-695.932	1230.537	661.988	-708.471	1208.321	670.507	-705.842	1243.366	655.289	-727.535	1198.331	662.406	-721.365	1229.663	655.309	-751.285	1179.118	653.674	-748.304	1204.411	651.971
255	-763.007	1055.053	684.633	-707.853	1047.826	687.079	-759.147	1127.561	668.762	-699.597	1124.938	688.618	-796.106	-481.821	673.785	-736.059	-498.801	691.87	-703.96	-473.996	664.791	-701.066	-534.575	666.562	-744.824	-570.218	672.284	-748.893	-600.019	663.159	-765.97	-576.254	670.962	0	0	0	-800.176	-564.648	649.182	-779.631	-598.241	656.155	-801.221	-540.401	657.222	-783.283	-562.82	664.219	-667.612	1096.416	667.707	-664.571	1161.088	669.369	-692.882	1199.371	674.699	-695.783	1230.434	661.951	-708.143	1207.612	669.818	-705.655	1243.221	655.164	-727.385	1198.235	662.358	-721.227	1229.58	655.305	-751.132	1179.024	653.668	-748.164	1204.343	651.955
256	-762.882	1054.99	684.629	-707.739	1047.756	687.085	-759.006	1127.515	668.775	-699.426	1124.816	688.596	-796.077	-481.885	673.858	-736.02	-498.863	691.892	-703.936	-474.055	664.828	-701.015	-534.675	666.603	-744.787	-570.322	672.373	-748.834	-600.068	663.123	-765.938	-576.33	671.013	0	0	0	-800.157	-564.715	649.256	-779.584	-598.285	656.164	-801.175	-540.47	657.281	-783.243	-562.89	664.296	-667.483	1096.321	667.672	-664.441	1160.998	669.353	-692.735	1199.288	674.693	-695.613	1230.377	662.003	-707.982	1207.55	669.844	-705.505	1243.182	655.238	-727.242	1198.153	662.335	-721.08	1229.462	655.294	-750.993	1178.957	653.712	-748.009	1204.234	651.964
257	-762.756	1054.908	684.647	-707.591	1047.69	687.12	-758.867	1127.444	668.786	-699.29	1124.691	688.545	-796.05	-481.972	673.924	-735.972	-498.934	691.938	-703.907	-474.135	664.854	-700.972	-534.754	666.63	-744.687	-570.348	672.295	-748.852	-600.183	663.312	-765.897	-576.418	671.095	0	0	0	-800.099	-564.788	649.313	-779.529	-598.393	656.227	-801.157	-540.555	657.378	-783.212	-562.971	664.377	-667.336	1096.216	667.677	-664.306	1160.94	669.382	-692.595	1199.201	674.726	-695.473	1230.291	662.011	-707.819	1207.426	669.857	-705.358	1243.098	655.258	-727.108	1198.08	662.371	-720.943	1229.427	655.346	-750.864	1178.866	653.72	-747.877	1204.2	652.049
258	-762.645	1054.823	684.658	-707.473	1047.602	687.107	-758.736	1127.378	668.824	-699.151	1124.609	688.582	-796.007	-482.047	673.966	-735.93	-499.025	692.021	-703.87	-474.219	664.88	-700.957	-534.838	666.734	-744.647	-570.437	672.385	-748.807	-600.26	663.38	-765.855	-576.484	671.122	0	0	0	-800.081	-564.891	649.432	-779.504	-598.472	656.326	-801.116	-540.647	657.455	-783.163	-563.056	664.439	-667.206	1096.128	667.688	-664.147	1160.753	669.288	-692.454	1199.118	674.733	-695.327	1230.179	662.007	-707.679	1207.284	669.825	-705.214	1242.963	655.294	-726.973	1197.976	662.369	-720.813	1229.321	655.342	-750.728	1178.748	653.691	-747.746	1204.108	652.012
259	-762.503	1054.71	684.65	-707.355	1047.519	687.097	-758.595	1127.288	668.848	-699.022	1124.546	688.609	-795.971	-482.122	674.009	-735.892	-499.101	692.06	-703.835	-474.306	664.931	-700.906	-534.917	666.77	-744.612	-570.49	672.393	-748.811	-600.334	663.469	-765.803	-576.584	671.181	0	0	0	-800.045	-564.983	649.5	-779.464	-598.547	656.394	-801.101	-540.741	657.567	-783.137	-563.14	664.564	-667.092	1096.063	667.71	-664.009	1160.667	669.31	-692.315	1199.024	674.743	-695.195	1230.132	662.082	-707.544	1207.204	669.846	-705.08	1242.883	655.28	-726.825	1197.89	662.433	-720.662	1229.244	655.38	-750.599	1178.693	653.743	-747.617	1204.041	652.041
