Trajectories
100
	x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_RHandOut			x_RHandIn			x_RThumb1			x_RThumbTip			x_RIndex2			x_RIndexTip			x_RMiddle2			x_RMiddleTip			x_RRing2			x_RRingTip			x_RPinky2			x_RPinkyTip			x_LThumb1			x_LThumbTip			x_LIndex2			x_LIndexTip			x_LMiddle2			x_LMiddleTip			x_LRing2			x_LRingTip			x_LPinky2			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
10	-770.279	1055.495	687.831	-715.089	1048.464	690.168	-766.704	1128.235	672.33	-707.176	1125.868	692.287	-794.18	-481.239	670.823	-733.969	-497.743	688.682	-702.101	-472.332	661.645	-697.61	-532.81	662.89	-742.206	-568.897	668.594	-746.197	-599.038	659.844	-763.13	-575.364	667.62	0	0	0	-797.782	-564.049	646.08	-776.712	-597.465	652.792	-798.958	-539.813	654.222	-780.674	-562.113	661.055	-675.072	1097.331	670.898	-672.311	1161.871	672.648	-700.617	1200.133	678.465	-703.61	1231.24	665.841	-716.079	1208.993	674.38	-713.625	1244.055	659.178	-735.119	1198.955	666.161	-729.17	1230.095	659.168	-758.382	1179.539	657.569	-755.265	1204.908	656.334
11	-770.283	1055.495	687.822	-715.094	1048.475	690.184	-766.721	1128.324	672.454	-707.188	1125.853	692.31	-794.162	-481.235	670.814	-733.956	-497.72	688.693	-702.049	-472.271	661.687	-697.567	-532.796	662.899	-742.195	-568.893	668.634	-746.158	-599.037	659.84	-763.104	-575.358	667.627	0	0	0	-797.76	-564.037	646.095	-776.659	-597.422	652.704	-798.937	-539.796	654.195	-780.654	-562.119	661.067	-675.077	1097.359	670.942	-672.31	1161.854	672.655	-700.619	1200.12	678.459	-703.621	1231.25	665.849	-715.906	1208.22	673.521	-713.631	1244.063	659.196	-735.121	1198.958	666.172	-729.182	1230.101	659.183	-758.394	1179.555	657.561	-755.274	1204.909	656.302
12	-770.31	1055.512	687.851	-715.118	1048.52	690.22	-766.732	1128.342	672.457	-707.201	1125.902	692.331	-794.149	-481.232	670.831	-733.939	-497.716	688.704	-702.055	-472.306	661.667	-697.565	-532.786	662.899	-742.166	-568.887	668.626	-746.176	-599.03	659.864	-763.082	-575.334	667.625	0	0	0	-797.737	-564.034	646.119	-776.662	-597.426	652.757	-798.928	-539.799	654.242	-780.629	-562.098	661.093	-675.094	1097.373	670.949	-672.318	1161.867	672.681	-700.628	1200.159	678.502	-703.619	1231.244	665.86	-715.887	1208.142	673.423	-713.61	1244.077	659.207	-735.122	1198.968	666.183	-729.061	1230.285	659.163	-758.394	1179.589	657.607	-755.273	1204.907	656.297
13	-770.315	1055.541	687.877	-715.125	1048.496	690.191	-766.727	1128.342	672.457	-707.215	1125.88	692.31	-794.126	-481.212	670.835	-733.932	-497.71	688.718	-702.043	-472.293	661.683	-697.543	-532.772	662.913	-742.163	-568.874	668.677	-746.191	-599.02	659.901	-763.079	-575.345	667.664	0	0	0	-797.73	-564.021	646.131	-776.638	-597.413	652.747	-798.921	-539.791	654.247	-780.622	-562.087	661.115	-675.095	1097.372	670.959	-672.31	1161.883	672.69	-700.633	1200.171	678.504	-703.625	1231.268	665.891	-715.887	1208.153	673.465	-713.609	1244.068	659.231	-735.125	1198.998	666.208	-729.057	1230.309	659.214	-758.402	1179.595	657.606	-755.271	1204.903	656.314
14	-770.319	1055.54	687.874	-715.125	1048.496	690.229	-766.754	1128.362	672.481	-707.207	1125.883	692.349	-794.124	-481.21	670.852	-733.93	-497.693	688.783	-702.077	-472.318	661.668	-697.558	-532.762	662.968	-742.167	-568.884	668.717	-746.106	-599.039	659.883	-763.061	-575.334	667.672	0	0	0	-797.712	-564.013	646.118	-776.643	-597.423	652.82	-798.911	-539.791	654.283	-780.602	-562.093	661.101	-675.112	1097.363	670.966	-672.325	1161.869	672.687	-700.632	1200.158	678.525	-703.625	1231.26	665.873	-716.093	1209.015	674.393	-713.621	1244.1	659.265	-735.137	1199.014	666.24	-729.059	1230.301	659.197	-758.408	1179.603	657.642	-755.28	1204.927	656.339
15	-770.328	1055.539	687.913	-715.138	1048.512	690.255	-766.756	1128.356	672.487	-707.215	1125.892	692.361	-794.115	-481.2	670.862	-733.91	-497.68	688.796	-702.029	-472.265	661.781	-697.539	-532.771	662.977	-742.162	-568.826	668.706	-746.114	-599.055	659.963	-763.048	-575.321	667.683	0	0	0	-797.709	-564.001	646.147	-776.513	-597.205	652.337	-798.909	-539.785	654.305	-780.614	-562.081	661.153	-675.095	1097.351	670.979	-672.317	1161.873	672.723	-700.624	1200.173	678.55	-703.631	1231.274	665.914	-716.091	1209.037	674.466	-713.608	1244.084	659.235	-735.137	1199.02	666.246	-729.058	1230.259	659.168	-758.396	1179.594	657.65	-755.265	1204.927	656.359
16	-770.343	1055.582	687.925	-715.161	1048.537	690.27	-766.757	1128.356	672.505	-707.223	1125.907	692.389	-794.115	-481.19	670.877	-733.904	-497.677	688.78	-702.039	-472.288	661.787	-697.547	-532.766	663.012	-742.154	-568.878	668.764	-746.113	-599.033	659.936	-763.064	-575.308	667.727	0	0	0	-797.709	-564.001	646.174	-776.634	-597.395	652.829	-798.89	-539.772	654.3	-780.592	-562.071	661.151	-675.106	1097.365	671.003	-672.315	1161.883	672.756	-700.638	1200.186	678.582	-703.621	1231.279	665.948	-716.081	1209.014	674.446	-713.608	1244.103	659.292	-735.146	1199.009	666.248	-729.181	1230.162	659.324	-758.405	1179.608	657.672	-755.27	1204.938	656.402
17	-770.363	1055.557	687.946	-715.17	1048.542	690.302	-766.758	1128.345	672.505	-707.228	1125.91	692.419	-794.109	-481.181	670.891	-733.893	-497.671	688.83	-702.015	-472.249	661.823	-697.554	-532.766	663.037	-742.16	-568.869	668.805	-746.15	-599.051	660.116	-763.052	-575.317	667.749	0	0	0	-797.713	-563.999	646.196	-776.645	-597.411	652.9	-798.9	-539.767	654.323	-780.606	-562.065	661.181	-675.121	1097.377	671.003	-672.335	1161.898	672.778	-700.639	1200.183	678.612	-703.632	1231.3	665.987	-716.09	1209.039	674.502	-713.61	1244.077	659.28	-735.139	1199.027	666.295	-729.193	1230.182	659.374	-758.413	1179.65	657.736	-755.269	1204.949	656.441
18	-770.373	1055.581	687.959	-715.186	1048.552	690.309	-766.769	1128.382	672.531	-707.247	1125.907	692.442	-794.114	-481.176	670.939	-733.898	-497.669	688.869	-702.059	-472.322	661.815	-697.548	-532.757	663.066	-742.167	-568.878	668.836	-746.2	-598.968	660.038	-763.072	-575.311	667.793	0	0	0	-797.712	-563.994	646.229	-776.635	-597.394	652.888	-798.9	-539.765	654.339	-780.612	-562.058	661.214	-675.169	1097.363	671.007	-672.337	1161.911	672.805	-700.654	1200.213	678.659	-703.635	1231.314	666.042	-716.101	1209.06	674.564	-713.617	1244.122	659.37	-735.149	1199.029	666.31	-729.193	1230.204	659.417	-758.415	1179.639	657.754	-755.279	1204.938	656.456
19	-770.388	1055.67	688.054	-715.199	1048.555	690.329	-766.785	1128.343	672.506	-707.265	1125.929	692.478	-794.114	-481.158	670.954	-733.919	-497.664	688.92	-702.044	-472.295	661.88	-697.568	-532.774	663.109	-742.185	-568.865	668.872	-746.178	-599.05	660.168	-763.06	-575.311	667.825	0	0	0	-797.723	-563.994	646.274	-776.64	-597.384	652.895	-798.909	-539.758	654.379	-780.637	-562.05	661.278	-675.158	1097.392	671.078	-672.367	1161.914	672.864	-700.652	1200.199	678.698	-703.65	1231.341	666.111	-716.111	1209.069	674.634	-713.618	1244.119	659.403	-735.172	1199.018	666.337	-729.208	1230.223	659.456	-758.429	1179.675	657.825	-755.294	1204.986	656.529
