Trajectories
100
	x_RWristOut			x_RWristIn			x_RHandOut			x_RHandIn			x_RThumbTip			x_RIndexTip			x_RMiddleTip			x_RRingTip			x_RPinkyTip			x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_LThumbTip			x_LIndexTip			x_LMiddleTip			x_LRingTip			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-787.582	-409.925	686.609	-744.64	-412.524	689.865	-794.483	-481.191	670.923	-734.317	-497.932	689.096	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
418	-654.869	-424.044	557.228	-615.569	-406.979	556.81	-632.239	-487.959	534.153	-569.267	-477.371	545.897	-525.667	-491.792	514.706	-540.886	-571.541	506.155	-554.957	-586.612	498.627	-571.909	-583.547	501.332	-588.763	-555.17	515.858	-668.935	913.326	532.873	-618.525	890.202	533.169	-646.279	976.638	505.838	-588.237	959.609	520.618	-543.403	977.721	485.618	-556.924	1053.482	474.095	-567.588	1065.969	459.067	-587.44	1058.778	461.1	-621.498	1042.543	460.238
419	-653.354	-423.44	555.127	-614.178	-406.203	554.68	-630.444	-487.187	531.802	-567.545	-476.3	543.454	-523.908	-490.414	512.08	-538.714	-570.209	503.513	-552.715	-585.243	495.645	-569.84	-582.346	498.624	-586.734	-554.139	513.202	-668.05	911.334	530.791	-617.715	888.063	531.187	-645.236	974.613	503.672	-587.319	957.52	518.748	-542.35	975.177	483.039	-555.584	1050.923	471.499	-566.345	1063.247	456.074	-586.268	1056.159	458.117	-620.299	1040.044	457.37
420	-651.831	-422.862	553.065	-612.807	-405.401	552.535	-628.656	-486.384	529.446	-565.801	-475.184	540.948	-522.149	-488.953	509.429	-536.545	-568.833	500.545	-550.577	-583.883	492.785	-567.624	-581.126	495.624	-584.658	-553.062	510.507	-667.176	909.379	528.752	-616.914	885.92	529.216	-644.11	972.351	501.363	-586.191	955.024	516.167	-541.342	972.608	480.389	-554.344	1048.111	468.565	-565.045	1060.517	453.045	-585.107	1053.525	455.09	-619.11	1037.565	454.575
421	-650.33	-422.265	550.958	-611.388	-404.582	550.421	-626.86	-485.547	527.059	-564.05	-474.088	538.49	-520.39	-487.463	506.701	-534.445	-567.397	497.629	-548.347	-582.484	489.689	-565.5	-579.81	492.756	-582.552	-551.939	507.713	-666.29	907.393	526.705	-616.115	883.788	527.191	-643.003	970.17	499.067	-585.145	952.699	513.921	-540.304	970.033	477.612	-552.866	1045.664	466.234	-563.822	1057.742	449.963	-583.879	1050.791	451.975	-617.93	1035.011	451.693
422	-648.796	-421.625	548.818	-609.935	-403.729	548.235	-625.069	-484.703	524.679	-562.285	-472.901	535.882	-518.65	-485.97	503.907	-532.29	-565.916	494.653	-546.159	-581.033	486.653	-563.268	-578.505	489.72	-580.469	-550.762	505.001	-665.346	905.379	524.576	-615.315	881.644	525.191	-641.969	967.885	496.776	-584.22	950.384	511.83	-539.261	967.448	474.835	-551.505	1042.886	463.33	-562.59	1054.879	446.868	-582.697	1048.108	448.846	-616.688	1032.356	448.659
423	-647.271	-420.955	546.687	-608.522	-402.834	546.098	-623.293	-483.805	522.248	-560.567	-471.728	533.317	-516.941	-484.409	501.221	-530.166	-564.423	491.596	-543.967	-579.556	483.6	-561.148	-577.15	486.83	-578.363	-549.582	502.16	-664.47	903.391	522.497	-614.525	879.466	523.182	-640.879	965.736	494.443	-583.171	948.069	509.52	-538.256	964.843	472.035	-550.184	1040.226	460.611	-561.337	1051.996	443.626	-581.556	1045.428	445.755	-615.508	1029.763	445.766
424	-645.766	-420.258	544.547	-607.103	-401.947	543.912	-621.511	-482.884	519.764	-558.816	-470.527	530.682	-515.25	-482.895	498.434	-528.139	-562.921	488.668	-541.826	-578.055	480.463	-558.947	-575.752	483.762	-576.285	-548.344	499.325	-663.598	901.404	520.43	-613.759	877.311	521.193	-639.865	963.587	492.179	-582.196	945.763	507.333	-537.255	962.22	469.125	-548.973	1037.433	457.684	-560.248	1048.904	440.427	-580.429	1042.66	442.63	-614.335	1027.134	442.798
425	-644.248	-419.531	542.363	-605.674	-401.006	541.749	-619.748	-481.903	517.291	-557.095	-469.3	528.105	-513.986	-481.402	495.745	-525.945	-561.275	485.38	-539.632	-576.469	477.244	-556.823	-574.348	480.753	-574.207	-547.103	496.423	-662.735	899.377	518.302	-612.945	875.161	519.122	-638.809	961.387	489.833	-581.176	943.482	505.031	-536.302	959.612	466.238	-547.549	1034.894	455.036	-559.023	1045.974	437.124	-579.294	1039.92	439.409	-613.185	1024.497	439.916
426	-642.738	-418.806	540.157	-604.217	-400.061	539.518	-618.012	-481.02	514.967	-555.383	-468.043	525.508	-512.287	-479.775	492.9	-523.908	-559.712	482.33	-537.572	-574.908	474.168	-554.7	-572.867	477.66	-572.174	-545.799	493.55	-661.875	897.369	516.245	-612.144	873.005	517.138	-637.755	959.321	487.58	-580.251	941.295	502.879	-535.18	956.964	463.316	-546.425	1032.121	452.076	-557.863	1042.951	433.81	-578.139	1037.111	436.281	-612.014	1021.81	436.873
427	-641.238	-418.024	537.892	-602.803	-399.07	537.283	-616.184	-479.897	512.171	-553.702	-466.778	522.882	-510.559	-478.106	490.15	-521.907	-558.118	479.297	-535.475	-573.29	470.949	-552.879	-571.479	474.532	-570.133	-544.49	490.627	-661.073	895.363	514.134	-611.369	870.823	515.103	-636.68	956.99	485.186	-579.105	938.808	500.275	-534.236	954.323	460.445	-544.981	1029.545	449.472	-556.723	1039.927	430.479	-577.042	1034.279	433.045	-610.894	1019.124	433.961
428	-639.759	-417.219	535.618	-601.392	-398.077	535.05	-614.498	-478.963	509.871	-551.963	-465.403	520.157	-508.903	-476.401	487.393	-519.727	-556.352	475.966	-533.333	-571.597	467.637	-550.857	-569.943	471.484	-568.12	-543.13	487.677	-660.229	893.29	512.071	-610.584	868.643	513.04	-635.691	954.74	482.896	-578.082	936.536	498.386	-533.326	951.669	457.482	-543.843	1026.571	446.257	-555.507	1036.857	427.11	-575.94	1031.281	429.708	-609.758	1016.489	430.94
429	-638.23	-416.352	533.248	-599.975	-397.036	532.715	-612.686	-477.712	506.949	-550.295	-464.046	517.567	-507.149	-474.645	484.605	-517.706	-554.635	472.829	-531.366	-569.911	464.499	-548.779	-568.371	468.25	-566.152	-541.746	484.689	-659.399	891.239	509.978	-609.814	866.437	510.994	-634.677	952.496	480.559	-577.259	933.98	495.566	-532.324	948.999	454.641	-542.441	1023.97	443.566	-554.44	1033.751	423.731	-574.925	1028.39	426.391	-608.661	1013.742	427.983
430	-636.713	-415.487	530.958	-598.564	-395.957	530.377	-610.94	-476.579	504.311	-548.627	-462.669	514.898	-505.447	-472.871	481.771	-515.658	-552.869	469.627	-529.278	-568.134	461.162	-546.705	-566.71	464.923	-564.162	-540.297	481.654	-658.517	889.19	507.805	-609.049	864.239	508.95	-633.608	950.21	478.091	-576.118	931.867	493.767	-531.481	946.312	451.65	-541.18	1021.113	440.551	-553.374	1030.591	420.314	-573.883	1025.389	423.05	-607.531	1010.98	424.935
431	-635.181	-414.571	528.56	-597.174	-394.864	528.087	-609.216	-475.376	501.65	-546.87	-461.215	512.034	-503.716	-471.058	478.824	-513.638	-551.087	466.445	-527.192	-566.318	457.763	-544.749	-565.105	461.844	-562.232	-538.824	478.597	-657.721	887.108	505.68	-608.273	862.016	506.868	-632.627	947.941	475.716	-575.134	929.423	491.326	-530.521	943.54	448.692	-539.873	1018.219	437.536	-552.311	1027.415	416.881	-572.844	1022.541	419.83	-606.358	1008.21	421.967
432	-633.643	-413.606	526.155	-595.794	-393.756	525.797	-607.453	-474.174	498.96	-545.22	-459.735	509.359	-502.098	-469.244	476.059	-511.517	-549.181	463.07	-525.102	-564.452	454.358	-542.66	-563.331	458.422	-560.252	-537.286	475.473	-656.852	885.029	503.46	-607.519	859.776	504.741	-631.615	945.679	473.339	-574.236	927.016	488.925	-529.619	940.819	445.847	-538.545	1015.284	434.428	-551.269	1024.158	413.391	-571.819	1019.511	416.421	-605.263	1005.361	418.932
433	-632.12	-412.637	523.76	-594.425	-392.611	523.501	-605.709	-472.905	496.267	-543.575	-458.252	506.631	-499.965	-467.251	473.089	-509.114	-547.123	459.628	-523.042	-562.548	450.96	-540.65	-561.567	455.008	-558.311	-535.759	472.378	-656.039	882.919	501.306	-606.811	857.446	502.559	-630.566	943.339	470.868	-573.243	924.628	486.653	-528.65	937.987	443.011	-537.251	1012.313	431.269	-550.288	1020.929	409.774	-570.829	1016.41	413.033	-604.184	1002.518	415.787
434	-630.58	-411.641	521.363	-593.028	-391.442	521.173	-603.861	-471.626	493.401	-541.874	-456.714	503.812	-498.281	-465.308	470.077	-507.167	-545.175	456.399	-520.984	-560.593	447.499	-538.606	-559.756	451.632	-556.35	-534.133	469.226	-655.221	880.827	499.169	-606.053	855.228	500.433	-629.535	941.088	468.486	-572.236	922.153	483.978	-527.713	935.226	440.204	-535.954	1009.276	428.114	-549.272	1017.63	406.303	-569.833	1013.166	409.307	-603.097	999.644	412.709
435	-629.052	-410.608	518.962	-591.609	-390.372	518.979	-602.117	-470.298	490.673	-540.198	-455.134	500.999	-496.656	-463.348	467.033	-505.188	-543.204	453.033	-518.986	-558.625	444.094	-536.614	-557.898	448.241	-554.408	-532.48	466.039	-654.377	878.752	496.941	-605.3	852.984	498.321	-628.55	938.745	465.96	-571.337	919.786	481.777	-526.77	932.469	437.547	-534.628	1006.237	424.794	-548.265	1014.338	402.797	-568.826	1009.995	405.852	-602.053	996.794	409.602
436	-627.539	-409.581	516.605	-590.193	-389.133	516.591	-600.372	-468.927	488.001	-538.489	-453.515	498.156	-495.181	-461.492	464.381	-503.212	-541.185	449.669	-516.996	-556.596	440.676	-534.25	-555.865	444.732	-552.816	-530.831	462.868	-653.543	876.62	494.748	-604.567	850.731	496.192	-627.526	936.493	463.602	-570.361	917.279	479.124	-525.821	929.646	434.756	-533.392	1003.132	421.524	-547.287	1010.967	399.29	-567.857	1006.808	402.299	-601	993.883	406.402
437	-626.041	-408.526	514.248	-588.817	-387.869	514.245	-598.592	-467.563	485.214	-536.804	-451.845	495.269	-493.482	-459.29	461.069	-501.217	-539.09	446.242	-514.634	-554.415	437.087	-532.267	-553.918	441.3	-550.826	-529.089	459.591	-652.716	874.517	492.476	-603.825	848.49	494.049	-626.549	934.096	461.065	-569.483	914.88	476.88	-524.796	926.805	431.995	-532.228	1000.089	418.343	-546.266	1007.584	395.658	-566.925	1003.589	398.725	-599.988	990.96	403.316
438	-624.529	-407.436	511.854	-587.425	-386.574	511.814	-596.809	-466.14	482.393	-535.139	-450.171	492.46	-491.997	-457.382	458.337	-499.565	-537.072	442.829	-512.608	-552.268	433.517	-530.224	-551.932	437.793	-548.905	-527.317	456.427	-651.884	872.419	490.256	-603.064	846.223	491.904	-625.554	931.75	458.54	-568.526	912.443	474.397	-523.851	923.989	429.27	-531.008	996.943	414.948	-545.25	1004.087	392.05	-566.019	1000.278	395.16	-599.003	987.973	400.131
439	-623.024	-406.325	509.497	-586.059	-385.24	509.454	-595.072	-464.687	479.701	-533.435	-448.378	489.456	-490.272	-455.058	454.864	-497.208	-534.758	439.281	-510.62	-550.103	429.94	-528.22	-549.922	434.291	-546.937	-525.526	453.175	-651.075	870.277	487.968	-602.332	843.985	489.782	-624.637	929.4	456.107	-567.598	910.063	472.027	-522.987	921.187	426.558	-529.824	993.723	411.491	-544.278	1000.606	388.442	-565.119	996.964	391.509	-597.993	984.97	396.889
440	-621.49	-405.165	507.087	-584.675	-383.881	507.037	-593.311	-463.373	477.154	-531.765	-446.664	486.591	-488.689	-452.9	451.657	-495.613	-532.664	435.882	-508.66	-547.877	426.356	-526.232	-547.812	430.785	-545.033	-523.681	449.915	-650.218	868.076	485.729	-601.599	841.719	487.612	-623.638	927.056	453.512	-566.826	907.408	469.244	-522.057	918.366	423.767	-528.536	990.265	408.191	-543.368	997.044	384.876	-564.24	993.595	387.932	-597.021	981.913	393.696
441	-619.975	-403.976	504.684	-583.271	-382.487	504.607	-591.576	-461.864	474.369	-530.095	-444.849	483.644	-487.174	-450.657	448.468	-493.301	-530.258	432.314	-506.672	-545.601	422.742	-524.223	-545.69	427.24	-543.035	-521.801	446.559	-649.321	865.902	483.424	-600.891	839.448	485.47	-622.692	924.685	451.111	-565.876	904.944	466.712	-521.186	915.514	421.043	-527.412	987.019	404.678	-542.425	993.481	381.259	-563.377	990.155	384.258	-596.041	978.873	390.445
442	-618.462	-402.788	502.257	-581.743	-380.946	502.18	-589.864	-460.2	471.389	-528.471	-443.047	480.725	-485.71	-448.509	445.516	-491.677	-528.07	428.791	-504.72	-543.316	419.105	-522.261	-543.531	423.714	-541.153	-519.889	443.393	-648.508	863.733	481.17	-600.148	837.189	483.318	-621.719	922.309	448.554	-565	902.491	464.269	-520.31	912.612	418.247	-526.283	983.733	401.202	-541.534	989.813	377.611	-562.551	986.685	380.676	-595.08	975.73	387.155
443	-616.961	-401.553	499.832	-580.374	-379.513	499.756	-588.108	-458.754	468.767	-526.812	-441.193	477.842	-484.097	-446.174	442.047	-489.837	-525.798	425.382	-502.78	-540.955	415.536	-520.312	-541.331	420.217	-539.15	-517.931	439.995	-647.702	861.585	478.915	-599.411	834.927	481.149	-620.736	919.927	445.965	-564.027	900.083	461.783	-519.487	909.754	415.46	-525.18	980.354	397.721	-540.608	986.185	373.867	-561.67	983.17	376.954	-594.105	972.616	383.882
444	-615.463	-400.292	497.387	-578.987	-378.046	497.3	-586.665	-457.262	465.993	-525.237	-439.188	474.737	-482.615	-443.82	438.823	-487.904	-523.401	421.83	-500.836	-538.581	411.884	-518.345	-539.109	416.632	-537.318	-515.961	436.824	-646.899	859.42	476.642	-598.71	832.647	478.995	-619.809	917.532	443.532	-563.138	897.615	459.348	-518.666	906.874	412.581	-524.159	976.912	393.87	-539.672	982.364	370.078	-560.868	979.613	373.384	-593.139	969.459	380.667
445	-613.984	-399.003	494.909	-577.644	-376.568	494.88	-584.956	-455.487	462.848	-523.408	-437.38	472.113	-481.361	-441.585	435.632	-485.976	-520.997	418.241	-498.866	-536.148	408.254	-516.39	-536.839	413.096	-535.341	-513.931	433.372	-646.078	857.265	474.35	-597.98	830.335	476.802	-618.794	915.173	440.917	-562.257	895.136	456.875	-517.824	903.963	409.608	-523.098	973.528	390.383	-538.82	978.649	366.43	-560.085	976.024	369.635	-592.178	966.276	377.413
446	-612.526	-397.703	492.456	-576.315	-375.064	492.421	-583.278	-453.999	460.308	-521.751	-435.443	469.221	-480.167	-439.144	432.157	-483.771	-518.477	414.781	-497.381	-533.758	404.722	-514.492	-534.52	409.562	-533.53	-511.888	430.173	-645.236	855.085	472.038	-597.227	828.044	474.602	-617.813	912.766	438.311	-561.212	892.769	454.582	-516.92	901.021	406.568	-522.036	970.159	386.823	-537.909	975	362.94	-559.257	972.481	366.137	-591.183	963.05	374.132
447	-611.374	-396.488	490.078	-574.983	-373.544	489.931	-581.363	-452.098	457.177	-520.145	-433.515	466.404	-478.687	-436.734	428.995	-482.223	-516.128	411.23	-495.413	-531.281	401.082	-512.556	-532.185	405.945	-531.567	-509.767	426.753	-644.459	852.895	469.792	-596.519	825.737	472.417	-616.868	910.346	435.864	-560.303	890.298	452.203	-516.196	898.083	403.561	-520.915	966.761	383.259	-537.135	971.326	359.585	-558.452	968.881	362.527	-590.19	959.87	370.87
448	-609.931	-395.161	487.599	-573.657	-372.006	487.508	-579.705	-450.542	454.546	-518.536	-431.515	463.424	-477.33	-434.457	426.094	-480.444	-513.63	407.882	-493.576	-528.775	397.438	-510.705	-529.813	402.391	-529.808	-507.666	423.52	-643.598	850.722	467.406	-595.784	823.438	470.171	-615.889	907.968	433.267	-559.379	887.76	449.633	-515.402	895.15	400.359	-519.869	963.422	379.817	-536.28	967.612	356.056	-557.594	965.344	359.001	-589.183	956.692	367.723
449	-608.503	-393.803	485.113	-572.364	-370.443	485.034	-578.073	-448.706	451.46	-516.978	-429.546	460.566	-475.996	-432.078	423.16	-478.612	-511.113	404.341	-491.661	-526.388	394.071	-508.827	-527.388	398.819	-527.918	-505.557	420.128	-642.809	848.557	465.116	-595.062	821.125	467.963	-614.889	905.526	430.624	-558.412	885.245	447.065	-514.663	892.174	397.229	-518.853	960.05	376.466	-535.493	963.782	352.393	-556.765	961.776	355.537	-588.203	953.436	364.514
450	-607.081	-392.427	482.66	-571.079	-368.835	482.519	-576.471	-447.122	448.877	-515.417	-427.488	457.581	-474.516	-429.555	419.943	-476.78	-508.553	400.759	-489.778	-523.795	390.332	-506.986	-524.968	395.198	-526.163	-503.422	416.89	-642.032	846.461	462.866	-594.148	818.92	466.011	-613.948	903.127	428.166	-557.508	882.702	444.547	-513.94	889.195	394.021	-517.798	956.76	373.097	-534.648	960.049	348.923	-555.929	958.196	352.048	-587.159	950.234	361.271
451	-605.692	-391.04	480.217	-569.801	-367.245	480.081	-574.848	-445.371	445.976	-513.941	-425.489	454.655	-473.127	-427.105	416.968	-474.999	-505.945	397.224	-488.022	-521.183	386.801	-505.178	-522.475	391.618	-524.319	-501.178	413.429	-641.228	844.234	460.588	-593.409	816.608	463.739	-612.947	900.674	425.483	-556.572	880.158	441.932	-513.204	886.211	390.741	-516.8	953.442	369.786	-533.782	956.377	345.472	-555.075	954.692	348.598	-586.211	947.031	358.053
452	-604.301	-389.628	477.749	-568.565	-365.637	477.62	-573.238	-443.466	442.874	-512.429	-423.443	451.692	-471.586	-424.415	413.519	-473.255	-503.337	393.71	-486.222	-518.524	383.077	-503.366	-519.979	387.936	-522.599	-498.984	410.173	-640.371	842.035	458.178	-592.67	814.29	461.488	-611.936	898.221	422.844	-555.67	877.626	439.317	-512.484	883.184	387.511	-515.768	950.109	366.434	-532.901	952.695	342.006	-554.134	951.224	345.383	-585.147	943.852	355.041
453	-602.914	-388.193	475.216	-567.297	-364.028	475.127	-571.682	-441.857	440.271	-510.989	-421.379	448.795	-470.292	-421.983	410.733	-471.471	-500.703	390.176	-484.518	-515.836	379.49	-501.618	-517.46	384.35	-520.436	-496.679	406.91	-639.574	839.83	455.882	-591.823	811.974	459.178	-610.98	895.731	420.177	-554.755	875.106	436.823	-511.81	880.23	384.177	-514.748	946.844	363.139	-532.035	949.014	338.641	-553.276	947.699	342.01	-584.203	940.681	351.836
454	-601.584	-386.778	472.779	-566.094	-362.401	472.69	-570.172	-440.048	437.479	-509.559	-419.293	445.858	-469	-419.484	407.778	-469.782	-498.038	386.701	-482.724	-513.135	375.74	-499.859	-514.9	380.692	-518.708	-494.423	403.578	-638.733	837.626	453.47	-591.087	809.617	456.931	-610.041	893.235	417.466	-553.815	872.521	434.15	-511.109	877.167	380.873	-513.749	943.523	359.876	-531.189	945.398	335.297	-552.402	944.226	338.604	-583.182	937.51	348.684
455	-599.954	-385.181	470.242	-564.885	-360.766	470.215	-568.662	-438.097	434.389	-508.136	-417.222	442.913	-467.512	-416.775	404.43	-468.031	-495.333	383.028	-481.087	-510.417	372.21	-498.165	-512.351	377.151	-517.045	-492.156	400.286	-637.916	835.398	451.098	-590.338	807.273	454.605	-609.108	890.717	414.798	-552.867	870.03	431.665	-510.385	874.137	377.569	-512.763	940.217	356.607	-530.317	941.763	331.95	-551.575	940.741	335.322	-582.207	934.359	345.641
456	-598.645	-383.732	467.741	-563.687	-359.124	467.792	-567.168	-436.43	431.763	-506.76	-415.117	440.031	-466.372	-414.39	401.657	-466.431	-492.728	379.689	-479.383	-507.69	368.452	-496.466	-509.771	373.502	-515.328	-489.868	396.879	-637.056	833.166	448.727	-589.585	804.926	452.307	-608.172	888.157	412.166	-551.998	867.415	429.024	-509.669	871.146	374.418	-511.78	936.915	353.348	-529.484	938.217	328.632	-550.758	937.234	332.017	-581.233	931.164	342.502
457	-597.346	-382.249	465.248	-562.204	-357.502	465.652	-565.742	-434.614	428.967	-505.402	-413.026	437.094	-465.087	-411.686	398.322	-464.918	-490.109	376.241	-477.818	-504.943	364.88	-494.839	-507.178	369.967	-513.713	-487.606	393.604	-636.247	830.932	446.411	-588.858	802.549	450.018	-607.224	885.663	409.528	-551.109	864.796	426.347	-508.997	868.143	371.113	-510.827	933.595	350.125	-528.649	934.649	325.311	-549.99	933.732	328.743	-580.295	928.011	339.485
458	-596.067	-380.74	462.768	-560.94	-355.824	463.304	-564.307	-432.752	426.078	-504.082	-410.944	434.193	-463.988	-409.228	395.492	-463.289	-487.42	372.671	-476.237	-502.185	361.188	-493.23	-504.591	366.397	-512.13	-485.296	390.31	-635.44	828.673	443.947	-588.111	800.185	447.711	-606.274	883.126	406.84	-550.205	862.192	423.743	-508.415	865.074	367.897	-509.886	930.283	346.884	-527.853	931.104	322.082	-549.224	930.213	325.496	-579.374	924.836	336.441
459	-594.794	-379.229	460.261	-559.773	-354.122	460.808	-562.903	-430.916	423.242	-502.766	-408.868	431.266	-462.638	-406.586	392.257	-461.798	-484.724	369.191	-474.727	-499.459	357.553	-491.693	-501.983	362.777	-510.53	-483.004	386.928	-634.629	826.426	441.63	-587.4	797.812	445.455	-605.346	880.583	404.226	-549.308	859.584	421.192	-507.771	862.026	364.611	-509.028	927.075	343.524	-527.159	927.371	318.898	-548.446	926.713	322.121	-578.444	921.643	333.384
460	-593.487	-377.626	457.763	-558.649	-352.436	458.257	-561.788	-429.125	420.387	-501.5	-406.79	428.341	-461.552	-404.192	389.461	-460.522	-481.96	365.519	-473.25	-496.706	353.929	-490.25	-499.407	359.299	-509.042	-480.693	383.676	-633.794	824.167	439.231	-586.662	795.434	443.148	-604.45	878.045	401.636	-548.395	856.959	418.502	-507.196	858.931	361.377	-508.112	923.68	340.269	-526.407	923.786	315.722	-547.725	923.166	318.851	-577.567	918.472	330.313
461	-592.273	-376.057	455.285	-557.529	-350.722	455.715	-560.522	-427.225	417.508	-500.266	-404.677	425.465	-460.343	-401.768	386.656	-459.083	-479.267	361.956	-471.831	-493.969	350.298	-488.764	-496.774	355.657	-507.602	-478.362	380.361	-633.011	821.894	436.938	-585.928	793.057	440.914	-603.5	875.482	398.902	-547.555	854.332	415.957	-506.661	855.778	358.043	-507.215	920.268	337.041	-525.678	920.266	312.554	-547.015	919.598	315.589	-576.7	915.234	327.31
462	-591.035	-374.482	452.718	-556.418	-348.99	453.203	-559.201	-425.328	414.671	-499.034	-402.688	422.668	-459.195	-399.205	383.56	-457.736	-476.624	358.495	-470.517	-491.241	346.763	-487.404	-494.132	352.112	-506.217	-476.06	377.059	-632.162	819.653	434.625	-585.193	790.684	438.66	-602.609	872.996	396.428	-546.647	851.69	413.298	-506.484	852.677	354.47	-506.298	916.951	333.83	-524.921	916.644	309.314	-546.337	916.001	312.352	-575.823	912.022	324.282
463	-589.861	-372.894	450.183	-555.375	-347.25	450.649	-557.888	-423.371	411.719	-497.82	-400.57	419.733	-458.188	-396.661	380.53	-456.412	-473.921	355.043	-469.247	-488.519	343.229	-486.111	-491.47	348.475	-504.834	-473.694	373.638	-631.391	817.427	432.413	-584.471	788.313	436.399	-601.695	870.434	393.689	-545.817	849.107	410.616	-505.897	849.462	351.301	-505.4	913.311	330.387	-524.165	913.037	306.158	-545.649	912.381	309.123	-574.949	908.803	321.253
464	-588.69	-371.29	447.687	-554.287	-345.506	448.16	-556.703	-421.417	408.904	-496.662	-398.463	416.87	-457.067	-394.277	377.519	-455.147	-471.224	351.55	-467.996	-485.755	339.653	-484.84	-488.815	344.821	-503.542	-471.334	370.29	-630.57	815.224	430.13	-583.781	785.918	434.201	-600.786	867.879	391.067	-544.99	846.453	408.088	-505.315	846.332	348.076	-504.509	909.773	327.067	-523.352	909.37	302.912	-544.957	908.78	305.898	-574.117	905.605	318.24
465	-587.525	-369.644	445.137	-553.225	-343.75	445.691	-555.429	-419.445	405.993	-495.489	-396.309	413.935	-456.042	-391.761	374.622	-453.901	-468.501	348.029	-466.389	-482.851	335.976	-483.544	-486.277	341.341	-502.326	-468.972	366.956	-629.763	813.003	427.844	-583.065	783.526	431.954	-599.914	865.322	388.43	-544.09	843.835	405.492	-504.787	843.137	344.981	-503.668	906.192	323.773	-522.617	905.714	299.706	-544.248	905.135	302.688	-573.261	902.373	315.249
466	-586.609	-368.098	442.626	-552.194	-341.98	443.186	-553.906	-417.333	403.026	-494.364	-394.152	411.043	-454.841	-389.078	371.219	-452.661	-465.771	344.374	-465.228	-480.036	332.344	-482.534	-483.467	337.594	-501.104	-466.559	363.575	-628.934	810.503	425.301	-582.371	781.155	429.753	-599.044	862.797	385.84	-543.224	841.222	402.838	-504.227	839.927	341.869	-502.832	902.606	320.462	-521.892	902.008	296.557	-543.566	901.495	299.485	-572.412	899.136	312.267
467	-585.429	-366.407	440.073	-551.125	-340.159	440.705	-552.76	-415.299	400.203	-493.245	-391.959	408.138	-453.991	-386.723	368.505	-451.504	-463.009	340.951	-464.094	-477.173	328.701	-481.294	-480.902	334.176	-499.942	-464.142	360.228	-628.17	808.236	422.934	-581.68	778.809	427.553	-598.168	860.221	383.167	-542.419	838.603	400.351	-503.704	836.757	338.837	-502.001	898.976	317.057	-521.211	898.294	293.431	-542.91	897.848	296.304	-571.582	895.894	309.297
468	-584.313	-364.695	437.621	-550.094	-338.34	438.234	-551.547	-413.256	397.323	-492.104	-389.724	405.23	-452.871	-383.994	365.086	-450.157	-460.239	337.619	-463.04	-474.334	325.159	-480.215	-478.215	330.559	-498.811	-461.737	356.877	-627.46	806.107	420.856	-580.989	776.444	425.387	-597.324	857.675	380.62	-541.558	836.052	397.757	-503.113	833.614	335.752	-501.198	895.277	313.653	-520.346	894.553	290.259	-542.21	894.221	293.18	-570.751	892.669	306.343
469	-583.167	-363.019	435.12	-549.058	-336.487	435.708	-550.343	-411.138	394.454	-490.97	-387.477	402.27	-452.056	-381.603	362.355	-449.026	-457.374	334.075	-461.974	-471.444	321.543	-479.156	-475.445	326.899	-497.626	-459.257	353.501	-626.674	803.844	418.516	-580.29	774.144	423.212	-596.481	855.124	377.89	-540.78	833.471	395.265	-502.623	830.405	332.867	-500.477	891.555	310.265	-519.622	890.865	287.068	-541.539	890.544	290.042	-569.944	889.426	303.38
470	-582.026	-361.286	432.651	-548.014	-334.621	433.266	-549.148	-409.078	391.564	-489.859	-385.179	399.376	-451.141	-379.026	359.452	-447.927	-454.511	330.561	-460.894	-468.522	317.932	-478.057	-472.677	323.28	-496.454	-456.762	350.097	-625.949	801.56	416.233	-579.621	771.858	421.105	-595.646	852.6	375.301	-539.978	830.97	392.757	-502.058	827.258	330.011	-499.766	887.798	306.91	-518.998	887.131	284.008	-540.898	886.903	286.885	-569.171	886.163	300.419
471	-580.906	-359.541	430.158	-546.99	-332.763	430.797	-547.959	-406.96	388.772	-488.736	-382.89	396.392	-450.191	-376.327	356.293	-446.814	-451.582	327.01	-459.798	-465.553	314.271	-477.021	-469.875	319.795	-495.309	-454.252	346.726	-625.157	799.224	413.731	-578.932	769.59	418.946	-594.852	850.046	372.693	-539.202	828.513	390.248	-501.46	824.189	327.051	-499.079	884.039	303.516	-518.358	883.359	280.914	-540.251	883.254	283.776	-568.394	882.956	297.52
